001.000.128.000,node-0.pool-1-0.dynamic.totinternet.net,202003,totinternet.net
001.034.164.000,1-34-164-0.HINET-IP.hinet.net,202003,hinet.net
001.041.142.000,n1-41-142-0.bla2.nsw.optusnet.com.au,202003,optusnet.com.au
001.065.117.000,1-65-117-000.static.netvigator.com,202003,netvigator.com
001.079.088.000,sp1-79-88-0.msb.spmode.ne.jp,202003,spmode.ne.jp
001.115.128.000,em1-115-128-0.pool.e-mobile.ne.jp,202003,e-mobile.ne.jp
001.123.104.000,cpe-1-223-104-0.bpi3-r-032.fli.sa.bigpond.net.au,202003,bigpond.net.au
001.160.080.000,1-160-80-0.dynamic-ip.hinet.net,202003,hinet.net
001.164.056.000,1-164-56-0.dynamic-ip.hinet.net,202003,hinet.net
001.168.032.000,1-168-32-0.dynamic-ip.hinet.net,202003,hinet.net
001.172.008.000,1-172-8-0.dynamic-ip.hinet.net,202003,hinet.net
001.175.240.000,1-175-240-0.dynamic-ip.hinet.net,202003,hinet.net
002.004.003.000,lfbn-mon-1-692-net.w2-4.abo.wanadoo.fr,202003,wanadoo.fr
002.007.235.000,lfbn-lyo-1-409-net.w2-7.abo.wanadoo.fr,202003,wanadoo.fr
002.015.083.000,lfbn-nic-1-239-net.w2-15.abo.wanadoo.fr,202003,wanadoo.fr
002.019.059.000,a2-19-59-0.deploy.static.akamaitechnologies.com,202003,akamaitechnologies.com
002.023.035.000,a2-23-35-0.deploy.static.akamaitechnologies.com,202003,akamaitechnologies.com
002.034.219.000,net-2-34-219-0.cust.vodafonedsl.it,202003,vodafonedsl.it
002.038.195.000,net-2-38-195-0.cust.vodafonedsl.it,202003,vodafonedsl.it
002.042.171.000,net-2-42-171-0.cust.vodafonedsl.it,202003,vodafonedsl.it
002.046.147.000,mob-2-46-147-0.net.vodafone.it,202003,vodafone.it
002.062.058.000,2-62-58-0-bbc-dynamic.kuzbass.net,202003,kuzbass.net
002.067.034.000,2.67.34.0.mobile.tre.se,202003,tre.se
002.071.010.000,2.71.10.0.mobile.tre.se,202003,tre.se
002.074.242.000,2-74-242-0.kcell.kz,202003,kcell.kz
002.078.218.000,2-78-218-0.kcell.kz,202003,kcell.kz
002.086.194.000,ppp-2-86-194-0.home.otenet.gr,202003,otenet.gr
002.108.035.000,2-108-35-0-static.dk.customer.tdc.net,202003,tdc.net
002.120.204.000,0278cc00.bb.sky.com,202003,sky.com
002.124.181.000,027cb500.bb.sky.com,202003,sky.com
002.128.171.000,002128171000.mbb.telenor.dk,202003,telenor.dk
002.136.150.000,0.red-2-136-150.staticip.rima-tde.net,202003,rima-tde.net
002.140.126.000,0.red-2-140-126.dynamicip.rima-tde.net,202003,rima-tde.net
002.148.102.000,2.148.102.0.tmi.telenormobil.no,202003,telenormobil.no
002.152.078.000,2.152.78.0.dyn.user.ono.com,202003,ono.com
002.200.054.000,dslb-002-200-054-000.002.200.pools.vodafone-ip.de,202003,vodafone-ip.de
